...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
1,0,1,conj,A1,100000,rifR,Ancestor,Ancestor
2,0,1,conj,M1,10000000,rifR,Mutant,Mutant
3,0,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
4,0,1,conj,A2,0,nalR,Ancestor,Ancestor
5,0,1,conj,M2,0,nalR,Mutant,Mutant
6,0,1,conj,F2,10000000,nalR,Plasmid-free,Plasmid-free
701,1,1,conj,A1,160022.630634138,rifR,Ancestor,Ancestor
702,1,1,conj,M1,18494556.2268743,rifR,Mutant,Mutant
703,1,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
704,1,1,conj,A2,5.25355794098107,nalR,Ancestor,Ancestor
705,1,1,conj,M2,4.12482642239752,nalR,Mutant,Mutant
706,1,1,conj,F2,18205638.620321002,nalR,Plasmid-free,Plasmid-free
1401,2,1,conj,A1,256043.968064932,rifR,Ancestor,Ancestor
1402,2,1,conj,M1,34199893.5922686,rifR,Mutant,Mutant
1403,2,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
1404,2,1,conj,A2,23.7047212061768,nalR,Ancestor,Ancestor
1405,2,1,conj,M2,21.5097220354116,nalR,Mutant,Mutant
1406,2,1,conj,F2,33139824.7980399,nalR,Plasmid-free,Plasmid-free
2101,3,1,conj,A1,409593.269996967,rifR,Ancestor,Ancestor
2102,3,1,conj,M1,63223945.1856459,rifR,Mutant,Mutant
2103,3,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
2104,3,1,conj,A2,82.442127134327,nalR,Ancestor,Ancestor
2105,3,1,conj,M2,86.4505780417145,nalR,Mutant,Mutant
2106,3,1,conj,F2,60307785.4661255,nalR,Plasmid-free,Plasmid-free
2801,4,1,conj,A1,654925.488184573,rifR,Ancestor,Ancestor
2802,4,1,conj,M1,116809485.636919,rifR,Mutant,Mutant
2803,4,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
2804,4,1,conj,A2,261.203738737358,nalR,Ancestor,Ancestor
2805,4,1,conj,M2,316.487044009481,nalR,Mutant,Mutant
2806,4,1,conj,F2,109683776.708988,nalR,Plasmid-free,Plasmid-free
3501,5,1,conj,A1,1046037.50596131,rifR,Ancestor,Ancestor
3502,5,1,conj,M1,215497603.272583,rifR,Mutant,Mutant
3503,5,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
3504,5,1,conj,A2,791.846202478409,nalR,Ancestor,Ancestor
3505,5,1,conj,M2,1108.22331176775,nalR,Mutant,Mutant
3506,5,1,conj,F2,199202379.662784,nalR,Plasmid-free,Plasmid-free
3508,5,1,tselect,A1,0,rifR,Ancestor,Ancestor
3509,5,1,tselect,M1,0,rifR,Mutant,Mutant
3510,5,1,tselect,F1,0,rifR,Plasmid-free,Plasmid-free
3511,5,1,tselect,A2,395.923101239204,nalR,Ancestor,Ancestor
3512,5,1,tselect,M2,554.111655883873,nalR,Mutant,Mutant
3513,5,1,tselect,F2,0,nalR,Plasmid-free,Plasmid-free
3515,77,1,tselect,A1,0,rifR,Ancestor,Ancestor
3516,77,1,tselect,M1,0,rifR,Mutant,Mutant
3517,77,1,tselect,F1,0,rifR,Plasmid-free,Plasmid-free
3518,77,1,tselect,A2,822468.282757351,nalR,Ancestor,Ancestor
3519,77,1,tselect,M2,9177531.71724265,nalR,Mutant,Mutant
3520,77,1,tselect,F2,0,nalR,Plasmid-free,Plasmid-free
