SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2
pHFCi_S.pB10,1,2.300000000000001e-16,0.08499999999999996,19.1,0,0,54065426.696645916,0
pHFCi_S.pB10,2,2.6026700301408013e-16,0.08499999999999996,19.1,0,0,54065426.696645916,0
pHFCi_S.pB10,3,2.9451701242578663e-16,0.08499999999999996,19.1,0,0,54065426.69664601,0
pHFCi_S.pB10,4,3.3327417461182633e-16,0.08499999999999996,19.1,0,0,54065426.69664601,0
pHFCi_S.pB10,5,3.771316113400474e-16,0.08499999999999996,19.1,0,0,54065426.696645916,0
pHFCi_S.pB10,6,4.267604966319347e-16,0.08499999999999996,19.1,0,0,54065426.696645916,0
pHFCi_S.pB10,7,4.829203281008418e-16,0.08499999999999996,19.1,0,0,54065426.696645916,0
pHFCi_S.pB10,8,5.464705499538362e-16,0.08499999999999996,19.1,0,0,54065426.696645945,0
pHFCi_S.pB10,9,6.183837055301761e-16,0.08499999999999996,19.1,0,0,54065426.69664597,0
pHFCi_S.pB10,10,6.997603206568712e-16,0.08499999999999996,19.1,0,0,54065426.69664607,0
pHFCi_S.pB10,11,7.918457455892817e-16,0.08499999999999996,19.1,0,0,54065426.696645916,0
pHFCi_S.pB10,12,8.960492132781393e-16,0.08499999999999996,19.1,0,0,54065426.69664587,0
pHFCi_S.pB10,13,1.013965405621846e-15,0.08499999999999996,19.1,0,0,54065426.69664601,0
pHFCi_S.pB10,14,1.1473988577441476e-15,0.08499999999999996,19.1,0,0,54065426.69664582,0
pHFCi_S.pB10,15,1.2983915737689048e-15,0.08499999999999996,19.1,0,0,54065426.69664584,0
pHFCi_S.pB10,16,1.4692542767111578e-15,0.08499999999999996,19.1,0,0,54065426.69664584,0
pHFCi_S.pB10,17,1.6626017707184041e-15,0.08499999999999996,19.1,0,0,54065426.69664601,0
pHFCi_S.pB10,18,1.8813929568294783e-15,0.08499999999999996,19.1,0,0,54065426.69664609,0
pHFCi_S.pB10,19,2.128976114633943e-15,0.08499999999999996,19.1,0,0,54065426.69664609,0
pHFCi_S.pB10,20,2.409140142801455e-15,0.08499999999999996,19.1,0,0,54065426.69664596,0
pHFCi_S.pB10,21,2.7261725426428152e-15,0.08499999999999996,19.1,0,0,54065426.696645975,0
pHFCi_S.pB10,22,3.0849250320561607e-15,0.08499999999999996,19.1,0,0,54065426.69664597,0
pHFCi_S.pB10,23,3.490887793984226e-15,0.08499999999999996,19.1,0,0,54065426.6966459,0
pHFCi_S.pB10,24,3.950273495646556e-15,0.08499999999999996,19.1,0,0,54065426.69664592,0
pHFCi_S.pB10,25,4.4701123643386024e-15,0.08499999999999996,19.1,0,0,54065426.69664595,0
pHFCi_S.pB10,26,5.058359774793877e-15,0.08499999999999996,19.1,0,0,54065426.6966459,0
pHFCi_S.pB10,27,5.7240179945764076e-15,0.08499999999999996,19.1,0,0,54065426.69664591,0
pHFCi_S.pB10,28,6.47727395063942e-15,0.08499999999999996,19.1,0,0,54065426.696645945,0
